text,etiket
Gelecekte hiçbir şeyin iyi olmayacağını düşünüyorum. Bu umutsuzluk beni intihar etmeye zorluyor.,İntihar Düşünceleri
Gelecekte hiçbir şeyin iyi olmayacağını düşünüyorum. Bu umutsuzluk beni intihar etmeye zorluyor.,İntihar Düşünceleri
Gelecekten hiçbir umut görmüyorum ve bu umutsuzluk beni intihara sürüklüyor. Artık yaşamak istemiyorum.,İntihar Düşünceleri
Yaşamak bunaldım. Etrafımdaki herşey üstüme üstüme geliyor. İntihar etmeyi düşünüyorum.,İntihar Düşünceleri
Yeme bozukluğu yaşıyorum ve bedenimden nefret ediyorum. Kendimi kontrol altında hissetmiyorum ve sürekli kilo alıp veriyorum. Kendimi çirkin ve değersiz hissediyorum ve bazen kendimi öldürmenin tek çözüm olduğunu düşünüyorum.,İntihar Düşünceleri
Kendimi sürekli olarak suçluyorum ve bu suçluluk hissi beni intihara yönlendiriyor. Bu düşüncelerle baş edemiyorum.,İntihar Düşünceleri
Ailem ve arkadaşlarımla olan ilişkilerim eskisi gibi değil. Kendimi onlardan kopmuş ve yalnız hissediyorum. Hiç kimse beni anlamıyor gibi geliyor ve kimseyle konuşmak istemiyorum. Bazen kendimi öldürmenin tek çözüm olduğunu düşünüyorum.,İntihar Düşünceleri
 Depresyon ile mücadele ediyorum. Kendimi üzgün ve mutsuz hissediyorum ve hiçbir şeyden zevk almıyorum. Gelecek için umudum yok ve bazen kendimi öldürmenin tek çözüm olduğunu düşünüyorum.,İntihar Düşünceleri
Madde bağımlılığı ile mücadele ediyorum. Bağımlılığımı yenmek için birçok kez denedim ama başaramadım. Kendimi utanç ve suçluluk içinde hissediyorum ve bazen kendimi öldürmenin tek çözüm olduğunu düşünüyorum.,İntihar Düşünceleri
Kimse beni anlamıyor ve bu yalnızlık hissi beni intihara sürüklüyor. Artık dayanacak gücüm kalmadı.,İntihar Düşünceleri
Kendimi sürekli çaresiz hissediyorum ve kurtuluşun tek yolu intihar gibi geliyor. Bu his beni çok korkutuyor.,İntihar Düşünceleri
İnsanlara yük olduğumu düşünüyorum ve bu yükten kurtulmanın tek yolu intihar gibi geliyor. Artık dayanacak gücüm kalmadı.,İntihar Düşünceleri
 Hayatın anlamsız olduğunu düşünüyorum ve artık yaşamak istemiyorum. Bu düşünceler beni sürekli rahatsız ediyor.,İntihar Düşünceleri
Her şeyin üstüme geldiğini hissediyorum ve çıkış yolu göremiyorum. Bu yüzden intihar düşünceleri aklımdan çıkmıyor.,İntihar Düşünceleri
Kendimi sürekli olarak yetersiz hissediyorum ve bu yetersizlik hissi beni intihara itiyor. Hayatın bir anlamı yokmuş gibi geliyor,İntihar Düşünceleri
Her sabah uyanmak benim için bir işkence. Hayatın bu kadar zor olmaması gerektiğini düşünüyorum ve ölmek istiyorum.,İntihar Düşünceleri
Son zamanlarda her şey çok zor geliyor. Hayatın bir anlamı olduğunu düşünmüyorum ve her günümü nasıl geçireceğimi bile bilmiyorum. Kendimi yalnız ve umutsuz hissediyorum ve bazen her şeyden vazgeçip kendimi öldürmeyi düşünüyorum.,İntihar Düşünceleri
Uyumakta zorlanıyorum ve geceleri sürekli kafamda kötü düşünceler dolaşıyor. Kendimi bitkin ve tükenmiş hissediyorum ve hiçbir şey yapmak istemiyorum. Bazen kendimi öldürmenin acıyı durdurmanın tek yolu olduğunu düşünüyorum.,İntihar Düşünceleri
Gelecekten hiçbir umut görmüyorum ve bu umutsuzluk beni intihar etmeye zorluyor. Artık yaşamak istemiyorum.,İntihar Düşünceleri
